Owner,Repo,Number,Author,Created_at,Updated_at,Closed_at,Merged_at,State,Title,Body,Assignee,Assignees,Requested_reviewers,Labels,Mergeable,Mergeable_state,Comments,Review_comments,Commits,Additions,Deletions,Changed_files
takumi091111,website-nuxtjs,160,dependabot-preview[bot],2021-04-05 20:16:55,2021-05-31 20:28:44,2021-05-31 20:28:42,,closed,[Security] Bump highlight.js from 9.18.5 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,1,1,1
DeloitteDigitalAPAC,rhythm-ui,181,dependabot-preview[bot],2021-04-05 19:21:24,2021-04-05 19:22:13,,,open,[Security] Bump handlebars from 4.1.2 to 4.7.7,11945,,0,2,"['dependencies', 'security']",True,blocked,1,0,1,22,35,1
react-component,rc-server,43,dependabot-preview[bot],2021-04-05 21:12:57,2021-05-31 21:20:26,2021-05-31 21:20:23,,closed,[Security] Bump highlight.js from 8.4.0 to 10.7.2,17652,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
webxmsj,blog-admin,130,dependabot-preview[bot],2021-04-05 21:32:23,2021-05-31 21:37:44,2021-05-31 21:37:43,,closed,build(deps): [security] bump highlight.js from 9.18.5 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,clean,1,0,1,414,64,2
TrigenSoftware,flexis-favicons,364,dependabot-preview[bot],2021-04-05 22:13:52,2021-06-07 22:14:42,2021-06-07 22:14:41,,closed,[Security] Bump highlight.js from 10.2.1 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,clean,1,0,1,3,3,1
aaronhayes,hasura-sdk,69,dependabot-preview[bot],2021-04-05 19:17:35,2021-06-04 19:15:12,2021-06-04 19:15:11,,closed,build(deps): [security] bump highlight.js from 10.2.0 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,clean,2,0,1,3,3,1
CoinageCrypto,lamington,382,dependabot-preview[bot],2021-04-05 19:15:28,2021-06-04 19:12:49,2021-06-04 19:12:48,,closed,[Security] Bump highlight.js from 10.1.2 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,blocked,1,0,1,3,3,1
tidev,appcelerator.ble,141,dependabot-preview[bot],2021-04-05 18:06:00,2021-04-19 15:29:09,2021-04-19 15:29:08,,closed,build(deps): [security] bump node-fetch from 2.6.0 to 2.6.1,8325,,0,2,"['dependencies', 'security']",False,dirty,2,0,1,0,20,1
eden-js,form,111,dependabot-preview[bot],2021-04-05 17:18:06,2021-05-31 17:30:28,2021-05-31 17:30:26,,closed,[Security] Bump highlight.js from 9.14.2 to 10.7.2,19524,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,4,12,1
santosrai,Community.Activities,73,dependabot-preview[bot],2021-04-05 15:55:41,2021-04-21 19:36:43,2021-04-21 19:36:42,,closed,[Security] Bump System.Net.Http from 4.3.1 to 4.3.2,3505,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
ruevko,slides,1,dependabot-preview[bot],2021-04-05 18:04:41,2021-04-05 18:27:17,2021-04-05 18:26:52,2021-04-05 18:26:52,closed,[Security] Bump nokogiri from 1.10.10 to 1.11.2,18127,,0,2,"['dependencies', 'security']",,unknown,0,0,1,5,3,1
DotNetCodeIT,WebHooksServer,33,dependabot-preview[bot],2021-04-05 15:55:35,2021-04-21 19:35:58,2021-04-21 19:35:56,,closed,[Security] Bump System.Net.Http from 4.3.1 to 4.3.2,3505,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
DotNetCodeIT,WebHooksServer,32,dependabot-preview[bot],2021-04-05 15:55:33,2021-04-21 19:40:50,2021-04-21 19:40:47,,closed,[Security] Bump System.Text.Encodings.Web from 4.3.0 to 4.3.1,3535,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
Asherlc,homecalc,105,dependabot-preview[bot],2021-04-05 13:57:11,2021-05-06 15:59:59,,,open,[Security] Bump chrono-node from 2.1.8 to 2.2.6,7800,,0,2,"['dependencies', 'security']",True,clean,1,0,1,10,10,2
feldroy,django-crash-starter,224,dependabot-preview[bot],2021-04-05 13:48:55,2021-07-05 13:55:47,2021-07-05 13:55:46,,closed,[Security] Bump pillow from 7.2.0 to 8.2.0,19088,,0,2,"['dependency update', 'security']",,unknown,2,0,1,1,1,1
